title="Potential"
variables = "x","y","V"
zone i=101,j=101,f=point
49 4 -0.421555
50 4 -0.422433
51 4 -0.42273
52 4 -0.422444
53 4 -0.421575
54 4 -0.420131
55 4 -0.418117
56 4 -0.415534
57 4 -0.412395
58 4 -0.408715
59 4 -0.40451
60 4 -0.399799
61 4 -0.394597
62 4 -0.388918
63 4 -0.382785
64 4 -0.376218
65 4 -0.369242
66 4 -0.361879
67 4 -0.354155
68 4 -0.346092
69 4 -0.337708
70 4 -0.329029
71 4 -0.320078
72 4 -0.310876
73 4 -0.301444
74 4 -0.291802
75 4 -0.28197
76 4 -0.271964
77 4 -0.261803
78 4 -0.25151
79 4 -0.241094
80 4 -0.23057
81 4 -0.219955
82 4 -0.209256
83 4 -0.198485
84 4 -0.187658
85 4 -0.176781
86 4 -0.165861
87 4 -0.154905
88 4 -0.143921
89 4 -0.132912
90 4 -0.121884
91 4 -0.110842
92 4 -0.0997894
93 4 -0.0887264
94 4 -0.0776554
95 4 -0.0665797
96 4 -0.0554988
97 4 -0.0444114
98 4 -0.0333184
99 4 -0.0222199
100 4 -0.0111144
101 4 0
1 5 0
2 5 -0.0147807
3 5 -0.0295568
4 5 -0.0443264
5 5 -0.0590948
6 5 -0.0738588
7 5 -0.088619
8 5 -0.103373
9 5 -0.118122
10 5 -0.132864
11 5 -0.147595
12 5 -0.162311
13 5 -0.17701
14 5 -0.191685
15 5 -0.206331
16 5 -0.22094
17 5 -0.235506
18 5 -0.250018
19 5 -0.264465
20 5 -0.278837
21 5 -0.293118
22 5 -0.307292
23 5 -0.321343
24 5 -0.335255
25 5 -0.349008
26 5 -0.362578
27 5 -0.375948
28 5 -0.389091
29 5 -0.401982
30 5 -0.414595
31 5 -0.426906
32 5 -0.438889
33 5 -0.450509
34 5 -0.461731
35 5 -0.472528
36 5 -0.482873
37 5 -0.492731
38 5 -0.502073
39 5 -0.510869
40 5 -0.519087
41 5 -0.526701
42 5 -0.533683
43 5 -0.540006
44 5 -0.545652
45 5 -0.550592
46 5 -0.554807
47 5 -0.558281
48 5 -0.561
49 5 -0.562957
50 5 -0.564133
51 5 -0.564532
52 5 -0.564147
53 5 -0.562982
54 5 -0.561049
55 5 -0.558347
56 5 -0.554885
57 5 -0.550681
58 5 -0.545753
59 5 -0.540122
60 5 -0.533813
61 5 -0.526846
62 5 -0.51924
63 5 -0.511029
64 5 -0.502239
65 5 -0.492907
66 5 -0.483056
67 5 -0.472721
68 5 -0.461931
69 5 -0.450719
70 5 -0.439111
71 5 -0.427142
72 5 -0.41484
73 5 -0.40223
74 5 -0.389341
75 5 -0.376202
76 5 -0.362835
77 5 -0.349264
78 5 -0.335513
79 5 -0.321603
80 5 -0.307551
81 5 -0.293377
82 5 -0.279093
83 5 -0.264718
84 5 -0.250269
85 5 -0.235753
86 5 -0.221183
87 5 -0.206564
88 5 -0.191907
89 5 -0.177223
90 5 -0.162514
91 5 -0.147785
92 5 -0.133045
93 5 -0.118291
94 5 -0.103527
95 5 -0.0887587
96 5 -0.0739832
97 5 -0.059202
98 5 -0.0444119
99 5 -0.0296167
100 5 -0.0148131
101 5 0
1 6 0
2 6 -0.0184715
3 6 -0.036938
4 6 -0.0553996
5 6 -0.0738591
6 6 -0.0923127
7 6 -0.110764
8 6 -0.12921
9 6 -0.147649
10 6 -0.16608
11 6 -0.184499
12 6 -0.202904
13 6 -0.221287
14 6 -0.239643
15 6 -0.257963
16 6 -0.276241
17 6 -0.294466
18 6 -0.312627
19 6 -0.330709
20 6 -0.3487
21 6 -0.366578
22 6 -0.384325
23 6 -0.401924
24 6 -0.419352
25 6 -0.436579
26 6 -0.453584
27 6 -0.47034
28 6 -0.486815
29 6 -0.502978
30 6 -0.5188
31 6 -0.534244
32 6 -0.549275
33 6 -0.563851
34 6 -0.577936
35 6 -0.59149
36 6 -0.604479
37 6 -0.616859
38 6 -0.628593
39 6 -0.639643
40 6 -0.649971
41 6 -0.659538
42 6 -0.668312
43 6 -0.676263
44 6 -0.683362
45 6 -0.689573
46 6 -0.694874
47 6 -0.699242
48 6 -0.702664
49 6 -0.705121
50 6 -0.706602
51 6 -0.707105
52 6 -0.706619
53 6 -0.705155
54 6 -0.70272
55 6 -0.69932
56 6 -0.694968
57 6 -0.689684
58 6 -0.683489
59 6 -0.676408
60 6 -0.668476
61 6 -0.659715
62 6 -0.650159
63 6 -0.639842
64 6 -0.628799
65 6 -0.617077
66 6 -0.604706
67 6 -0.59173
68 6 -0.578186
69 6 -0.564113
70 6 -0.549547
71 6 -0.534531
72 6 -0.519097
73 6 -0.503285
74 6 -0.487125
75 6 -0.470653
76 6 -0.453899
77 6 -0.436894
78 6 -0.419666
79 6 -0.402242
80 6 -0.384644
81 6 -0.366892
82 6 -0.349012
83 6 -0.33102
84 6 -0.312935
85 6 -0.29477
86 6 -0.276536
87 6 -0.258245
88 6 -0.239914
89 6 -0.221546
90 6 -0.20315
91 6 -0.184733
92 6 -0.1663
93 6 -0.147853
94 6 -0.129396
95 6 -0.110934
96 6 -0.092464
97 6 -0.0739859
98 6 -0.0555021
99 6 -0.0370098
100 6 -0.0185119
101 6 0
1 7 0
2 7 -0.022161
3 7 -0.0443172
4 7 -0.0664689
5 7 -0.0886173
6 7 -0.110763
7 7 -0.132906
8 7 -0.155044
9 7 -0.177176
10 7 -0.199299
11 7 -0.221411
12 7 -0.243508
13 7 -0.265583
14 7 -0.287624
15 7 -0.309628
16 7 -0.331586
17 7 -0.353485
18 7 -0.375309
19 7 -0.397042
20 7 -0.418667
21 7 -0.440161
22 7 -0.461504
23 7 -0.482672
24 7 -0.503636
25 7 -0.524366
26 7 -0.544835
27 7 -0.565007
28 7 -0.584846
29 7 -0.604316
30 7 -0.623378
31 7 -0.641989
32 7 -0.660103
33 7 -0.677675
34 7 -0.694659
35 7 -0.71101
36 7 -0.726683
37 7 -0.741624
38 7 -0.755789
39 7 -0.769132
40 7 -0.781604
41 7 -0.793162
42 7 -0.803764
43 7 -0.813375
44 7 -0.821951
45 7 -0.829457
46 7 -0.835864
47 7 -0.841146
48 7 -0.845284
49 7 -0.848253
50 7 -0.850043
51 7 -0.850647
52 7 -0.850062
53 7 -0.848296
54 7 -0.845349
55 7 -0.841235
56 7 -0.835974
57 7 -0.829586
58 7 -0.822097
59 7 -0.813539
60 7 -0.803952
61 7 -0.793368
62 7 -0.781826
63 7 -0.769365
64 7 -0.756036
65 7 -0.741884
66 7 -0.726956
67 7 -0.7113
68 7 -0.694963
69 7 -0.677989
70 7 -0.660425
71 7 -0.642324
72 7 -0.623724
73 7 -0.604673
74 7 -0.585208
75 7 -0.565374
76 7 -0.545205
77 7 -0.524739
78 7 -0.504007
79 7 -0.483044
80 7 -0.461876
81 7 -0.440528
82 7 -0.419031
83 7 -0.397404
84 7 -0.375669
85 7 -0.353838
86 7 -0.331929
87 7 -0.30996
88 7 -0.287943
89 7 -0.265885
90 7 -0.243797
91 7 -0.221686
92 7 -0.199556
93 7 -0.177414
94 7 -0.155262
