title="Density"
variables = "x","y","num"
zone i=100,j=100,f=point
24 4 1e+15
25 4 1.1e+15
26 4 5e+14
27 4 1e+15
28 4 5e+14
29 4 9e+14
30 4 3e+14
31 4 5e+14
32 4 9e+14
33 4 9e+14
34 4 8e+14
35 4 1e+15
36 4 6e+14
37 4 7e+14
38 4 5e+14
39 4 1e+15
40 4 9e+14
41 4 9e+14
42 4 7e+14
43 4 1e+15
44 4 1.1e+15
45 4 7e+14
46 4 7e+14
47 4 9e+14
48 4 1e+15
49 4 1e+15
50 4 9e+14
51 4 8e+14
52 4 1e+15
53 4 6e+14
54 4 1.2e+15
55 4 1e+15
56 4 8e+14
57 4 1e+15
58 4 1.3e+15
59 4 8e+14
60 4 1.1e+15
61 4 1.1e+15
62 4 1.4e+15
63 4 1.4e+15
64 4 1e+15
65 4 1.2e+15
66 4 1e+15
67 4 8e+14
68 4 7e+14
69 4 1.3e+15
70 4 1.4e+15
71 4 8e+14
72 4 1.3e+15
73 4 1.4e+15
74 4 9e+14
75 4 1.1e+15
76 4 1.4e+15
77 4 1.1e+15
78 4 1.4e+15
79 4 1.1e+15
80 4 1.3e+15
81 4 8e+14
82 4 1.2e+15
83 4 1.1e+15
84 4 1.8e+15
85 4 1.3e+15
86 4 1.2e+15
87 4 1.6e+15
88 4 1.3e+15
89 4 1.2e+15
90 4 1.4e+15
91 4 1.6e+15
92 4 1.3e+15
93 4 1.6e+15
94 4 9e+14
95 4 1.4e+15
96 4 1.3e+15
97 4 8e+14
98 4 1e+15
99 4 1e+15
100 4 1.5e+15
1 5 3e+14
2 5 9e+14
3 5 1.1e+15
4 5 3e+14
5 5 9e+14
6 5 5e+14
7 5 1e+15
8 5 6e+14
9 5 6e+14
10 5 7e+14
11 5 9e+14
12 5 4e+14
13 5 3e+14
14 5 5e+14
15 5 7e+14
16 5 5e+14
17 5 8e+14
18 5 8e+14
19 5 2e+14
20 5 1e+15
21 5 5e+14
22 5 6e+14
23 5 5e+14
24 5 8e+14
25 5 4e+14
26 5 8e+14
27 5 3e+14
28 5 1.5e+15
29 5 3e+14
30 5 1.1e+15
31 5 8e+14
32 5 9e+14
33 5 8e+14
34 5 8e+14
35 5 7e+14
36 5 1e+15
37 5 1.1e+15
38 5 1.2e+15
39 5 4e+14
40 5 8e+14
41 5 8e+14
42 5 9e+14
43 5 4e+14
44 5 1e+15
45 5 1.4e+15
46 5 1.2e+15
47 5 9e+14
48 5 1.1e+15
49 5 7e+14
50 5 1.1e+15
51 5 1.2e+15
52 5 9e+14
53 5 1e+15
54 5 1e+15
55 5 1e+15
56 5 1.1e+15
57 5 7e+14
58 5 8e+14
59 5 1.1e+15
60 5 1.6e+15
61 5 9e+14
62 5 1.2e+15
63 5 8e+14
64 5 8e+14
65 5 1.1e+15
66 5 1.8e+15
67 5 5e+14
68 5 1.1e+15
69 5 1.2e+15
70 5 1.5e+15
71 5 1.5e+15
72 5 8e+14
73 5 9e+14
74 5 1.7e+15
75 5 1.2e+15
76 5 1.8e+15
77 5 6e+14
78 5 2.1e+15
79 5 1.1e+15
80 5 1.2e+15
81 5 1.6e+15
82 5 1.3e+15
83 5 1.1e+15
84 5 1.5e+15
85 5 1.2e+15
86 5 1.5e+15
87 5 1.4e+15
88 5 1.5e+15
89 5 1.5e+15
90 5 1e+15
91 5 1.1e+15
92 5 1.3e+15
93 5 6e+14
94 5 1.6e+15
95 5 1.3e+15
96 5 1.5e+15
97 5 1.1e+15
98 5 1.4e+15
99 5 1.2e+15
100 5 1.6e+15
1 6 1e+15
2 6 5e+14
3 6 8e+14
4 6 7e+14
5 6 1e+15
6 6 9e+14
7 6 8e+14
8 6 7e+14
9 6 9e+14
10 6 6e+14
11 6 6e+14
12 6 1.2e+15
13 6 1.1e+15
14 6 1.2e+15
15 6 6e+14
16 6 9e+14
17 6 7e+14
18 6 6e+14
19 6 6e+14
20 6 9e+14
21 6 7e+14
22 6 1e+15
23 6 8e+14
24 6 6e+14
25 6 7e+14
26 6 9e+14
27 6 5e+14
28 6 1e+15
29 6 7e+14
30 6 8e+14
31 6 1.2e+15
32 6 3e+14
33 6 7e+14
34 6 8e+14
35 6 8e+14
36 6 6e+14
37 6 1.4e+15
38 6 7e+14
39 6 8e+14
40 6 7e+14
41 6 8e+14
42 6 1e+15
43 6 1.2e+15
44 6 6e+14
45 6 4e+14
46 6 4e+14
47 6 5e+14
48 6 9e+14
49 6 1.1e+15
50 6 9e+14
51 6 1e+15
52 6 7e+14
53 6 1e+15
54 6 6e+14
55 6 1.1e+15
56 6 1e+15
57 6 1e+15
58 6 1.4e+15
59 6 1.1e+15
60 6 9e+14
61 6 1e+15
62 6 1.1e+15
63 6 1.4e+15
64 6 1.4e+15
65 6 1.7e+15
66 6 1.5e+15
67 6 8e+14
68 6 1.3e+15
69 6 1e+15
70 6 1e+15
71 6 1.3e+15
72 6 1.1e+15
73 6 1.6e+15
74 6 1.2e+15
75 6 1.2e+15
76 6 1.3e+15
77 6 1.4e+15
78 6 1.2e+15
79 6 1.4e+15
80 6 1.2e+15
81 6 1.2e+15
82 6 1.1e+15
83 6 1.8e+15
84 6 1.4e+15
85 6 9e+14
86 6 1.2e+15
87 6 1.1e+15
88 6 1.4e+15
89 6 1.3e+15
90 6 1.2e+15
91 6 1e+15
92 6 1.3e+15
93 6 1.8e+15
94 6 1.2e+15
95 6 1.3e+15
96 6 1.3e+15
97 6 1.3e+15
98 6 1.3e+15
99 6 1.6e+15
100 6 8e+14
1 7 1.2e+15
2 7 4e+14
3 7 1e+15
4 7 4e+14
5 7 8e+14
6 7 6e+14
7 7 1e+15
8 7 8e+14
9 7 9e+14
10 7 7e+14
11 7 9e+14
12 7 7e+14
13 7 5e+14
14 7 8e+14
15 7 8e+14
16 7 8e+14
17 7 8e+14
18 7 9e+14
19 7 8e+14
20 7 7e+14
21 7 9e+14
22 7 4e+14
23 7 1e+15
24 7 8e+14
25 7 9e+14
26 7 7e+14
27 7 5e+14
28 7 1.2e+15
29 7 4e+14
30 7 1.2e+15
31 7 6e+14
32 7 1.1e+15
33 7 1.3e+15
34 7 5e+14
35 7 9e+14
36 7 9e+14
37 7 4e+14
38 7 1.1e+15
39 7 1.2e+15
40 7 9e+14
41 7 3e+14
42 7 5e+14
43 7 9e+14
44 7 9e+14
45 7 1.2e+15
46 7 1e+15
47 7 1.2e+15
48 7 1.1e+15
49 7 7e+14
50 7 1e+15
51 7 8e+14
52 7 1.4e+15
53 7 1.2e+15
54 7 1.1e+15
55 7 7e+14
56 7 1.5e+15
57 7 8e+14
58 7 9e+14
59 7 9e+14
60 7 1.4e+15
61 7 1.3e+15
62 7 1.3e+15
63 7 1e+15
64 7 1.2e+15
65 7 4e+14
66 7 1.6e+15
67 7 1e+15
68 7 1.1e+15
69 7 1.1e+15
70 7 1e+15
71 7 1.5e+15
72 7 1.1e+15
73 7 9e+14
74 7 1.5e+15
75 7 1.5e+15
76 7 8e+14
77 7 1.3e+15
78 7 1.3e+15
79 7 1.2e+15
80 7 1.5e+15
81 7 1.3e+15
82 7 1.5e+15
83 7 1.1e+15
84 7 1.5e+15
85 7 1.4e+15
86 7 1.3e+15
87 7 1.7e+15
88 7 1.2e+15
89 7 1.3e+15
90 7 1.8e+15
91 7 1.2e+15
92 7 1.6e+15
93 7 1.1e+15
94 7 1.9e+15
95 7 1.7e+15
96 7 9e+14
97 7 1.8e+15
98 7 1.4e+15
99 7 1.5e+15
100 7 1.4e+15
1 8 7e+14
2 8 9e+14
3 8 7e+14
4 8 5e+14
5 8 8e+14
6 8 9e+14
7 8 9e+14
8 8 6e+14
9 8 9e+14
10 8 7e+14
11 8 8e+14
12 8 7e+14
13 8 6e+14
14 8 7e+14
15 8 9e+14
16 8 7e+14
17 8 9e+14
18 8 8e+14
19 8 7e+14
20 8 8e+14
21 8 7e+14
22 8 1.2e+15
23 8 9e+14
24 8 6e+14
25 8 8e+14
26 8 1e+15
27 8 8e+14
28 8 6e+14
29 8 6e+14
30 8 5e+14
31 8 7e+14
32 8 7e+14
33 8 4e+14
34 8 7e+14
35 8 1.3e+15
36 8 5e+14
37 8 9e+14
38 8 7e+14
39 8 6e+14
40 8 1.2e+15
41 8 1.1e+15
42 8 4e+14
43 8 7e+14
44 8 1.4e+15
45 8 7e+14
46 8 6e+14
47 8 1e+15
48 8 8e+14
49 8 1.3e+15
50 8 8e+14
51 8 1.3e+15
52 8 4e+14
53 8 1e+15
54 8 5e+14
55 8 1.1e+15
56 8 8e+14
57 8 1.2e+15
58 8 1.3e+15
59 8 1.1e+15
60 8 9e+14
61 8 9e+14
62 8 1.6e+15
63 8 1e+15
64 8 1.2e+15
65 8 1.4e+15
66 8 1e+15
67 8 1.2e+15
68 8 1.7e+15
69 8 1.5e+15
70 8 1e+15
71 8 1.4e+15
72 8 1.5e+15
73 8 1.4e+15
74 8 1.3e+15
75 8 1.3e+15
76 8 8e+14
77 8 1.5e+15
78 8 1.5e+15
79 8 1.6e+15
80 8 1.5e+15
81 8 1.5e+15
82 8 1.4e+15
83 8 1.4e+15
84 8 1.5e+15
85 8 1.4e+15
86 8 1.7e+15
87 8 1.7e+15
88 8 1.3e+15
89 8 1.5e+15
90 8 1.5e+15
91 8 7e+14
92 8 1.6e+15
93 8 1.1e+15
94 8 1.1e+15
95 8 1.3e+15
96 8 1.4e+15
97 8 1.1e+15
98 8 1.3e+15
99 8 9e+14
100 8 1.5e+15
1 9 1.2e+15
2 9 9e+14
3 9 6e+14
4 9 1.2e+15
5 9 6e+14
6 9 1e+15
7 9 7e+14
8 9 1.1e+15
9 9 8e+14
10 9 1.1e+15
11 9 7e+14
12 9 7e+14
13 9 4e+14
14 9 1e+15
15 9 4e+14
16 9 1e+15
17 9 7e+14
18 9 1.2e+15
19 9 7e+14
20 9 7e+14
21 9 6e+14
22 9 8e+14
23 9 1e+15
24 9 6e+14
25 9 9e+14
26 9 8e+14
27 9 9e+14
28 9 6e+14
29 9 1e+15
30 9 8e+14
31 9 9e+14
32 9 9e+14
33 9 7e+14
34 9 7e+14
35 9 6e+14
36 9 9e+14
37 9 1e+15
38 9 7e+14
39 9 8e+14
40 9 7e+14
41 9 3e+14
42 9 1.1e+15
43 9 8e+14
44 9 5e+14
45 9 1.4e+15
46 9 1.2e+15
47 9 1.1e+15
48 9 7e+14
49 9 7e+14
50 9 8e+14
51 9 8e+14
52 9 1e+15
53 9 1.5e+15
54 9 8e+14
55 9 8e+14
56 9 1e+15
57 9 1.4e+15
58 9 6e+14
59 9 1e+15
60 9 1.3e+15
61 9 1e+15
62 9 1.2e+15
63 9 4e+14
64 9 1e+15
65 9 1.1e+15
66 9 1.3e+15
67 9 9e+14
68 9 8e+14
69 9 1.8e+15
70 9 9e+14
71 9 1.7e+15
72 9 1.2e+15
73 9 1e+15
74 9 1.6e+15
75 9 1.1e+15
76 9 1.8e+15
77 9 1.1e+15
78 9 8e+14
79 9 1.8e+15
80 9 1.6e+15
81 9 1.3e+15
82 9 1.6e+15
83 9 1.4e+15
84 9 8e+14
85 9 1.3e+15
86 9 1.5e+15
87 9 1.2e+15
88 9 9e+14
89 9 1.2e+15
90 9 1.4e+15
91 9 1.5e+15
92 9 1.9e+15
93 9 1.4e+15
94 9 1.3e+15
95 9 1.3e+15
96 9 1.2e+15
97 9 1.9e+15
98 9 1.3e+15
99 9 1.3e+15
100 9 1.1e+15
1 10 1.1e+15
2 10 7e+14
3 10 7e+14
4 10 8e+14
5 10 7e+14
6 10 7e+14
7 10 9e+14
8 10 6e+14
9 10 9e+14
10 10 6e+14
11 10 1.2e+15
12 10 9e+14
13 10 5e+14
14 10 9e+14
15 10 7e+14
16 10 5e+14
17 10 8e+14
18 10 7e+14
19 10 1.2e+15
20 10 2e+14
21 10 1.1e+15
22 10 6e+14
23 10 9e+14
24 10 1.1e+15
25 10 7e+14
26 10 8e+14
27 10 9e+14
28 10 9e+14
29 10 9e+14
30 10 4e+14
31 10 5e+14
32 10 9e+14
33 10 6e+14
34 10 9e+14
35 10 8e+14
36 10 8e+14
37 10 7e+14
38 10 9e+14
39 10 5e+14
40 10 1e+15
41 10 1.3e+15
42 10 9e+14
43 10 8e+14
44 10 7e+14
45 10 9e+14
46 10 9e+14
47 10 7e+14
48 10 1.2e+15
49 10 1e+15
50 10 5e+14
51 10 9e+14
52 10 6e+14
53 10 9e+14
54 10 9e+14
55 10 9e+14
56 10 1e+15
57 10 1.3e+15
58 10 8e+14
59 10 1.4e+15
60 10 7e+14
61 10 1.3e+15
62 10 7e+14
63 10 1.1e+15
64 10 1.5e+15
65 10 1e+15
66 10 1.3e+15
67 10 1.3e+15
68 10 1.5e+15
69 10 1.1e+15
70 10 1.5e+15
71 10 9e+14
72 10 1.6e+15
73 10 1.4e+15
74 10 1e+15
75 10 1.4e+15
76 10 1.2e+15
77 10 1.6e+15
78 10 1.4e+15
79 10 9e+14
80 10 1.6e+15
81 10 1.5e+15
82 10 1.1e+15
83 10 9e+14
84 10 1.7e+15
85 10 7e+14
86 10 1.5e+15
87 10 1.3e+15
88 10 1.4e+15
89 10 1.4e+15
90 10 1.5e+15
91 10 1.3e+15
92 10 8e+14
93 10 1.4e+15
94 10 1.5e+15
95 10 1.2e+15
96 10 1.2e+15
97 10 1.2e+15
98 10 8e+14
99 10 1.5e+15
100 10 1.1e+15
1 11 1e+15
2 11 8e+14
3 11 9e+14
4 11 8e+14
5 11 9e+14
6 11 9e+14
7 11 7e+14
8 11 7e+14
9 11 9e+14
10 11 6e+14
11 11 1.1e+15
12 11 7e+14
13 11 5e+14
14 11 1.6e+15
15 11 8e+14
16 11 9e+14
17 11 6e+14
18 11 6e+14
19 11 6e+14
20 11 9e+14
21 11 9e+14
22 11 6e+14
23 11 8e+14
24 11 6e+14
25 11 1e+15
26 11 7e+14
27 11 8e+14
28 11 1.2e+15
29 11 8e+14
30 11 8e+14
31 11 1.2e+15
32 11 6e+14
33 11 1.1e+15
34 11 1e+15
35 11 8e+14
36 11 5e+14
37 11 8e+14
38 11 1.1e+15
39 11 8e+14
40 11 9e+14
41 11 5e+14
42 11 5e+14
43 11 1e+15
44 11 7e+14
45 11 9e+14
46 11 7e+14
47 11 1.4e+15
48 11 5e+14
49 11 8e+14
50 11 1.3e+15
51 11 7e+14
52 11 1.1e+15
53 11 1.1e+15
54 11 9e+14
55 11 1.1e+15
56 11 7e+14
57 11 1.5e+15
58 11 1.1e+15
59 11 1.5e+15
60 11 8e+14
61 11 1.5e+15
62 11 1.1e+15
63 11 1.4e+15
64 11 1.8e+15
65 11 9e+14
66 11 9e+14
67 11 1.3e+15
68 11 1.6e+15
69 11 1.9e+15
70 11 1.4e+15
71 11 1e+15
72 11 1.7e+15
73 11 7e+14
74 11 1.3e+15
75 11 1.1e+15
76 11 1.2e+15
77 11 9e+14
78 11 1.1e+15
79 11 1.5e+15
80 11 1.3e+15
81 11 1e+15
82 11 1.3e+15
83 11 1.8e+15
84 11 1.4e+15
85 11 1.3e+15
86 11 1e+15
87 11 1.6e+15
88 11 1.3e+15
89 11 1.3e+15
90 11 1.4e+15
91 11 1.3e+15
92 11 1.4e+15
93 11 1.5e+15
94 11 9e+14
95 11 1.4e+15
96 11 9e+14
97 11 1.1e+15
98 11 1.6e+15
99 11 1.7e+15
100 11 1.2e+15
1 12 8e+14
2 12 6e+14
3 12 8e+14
4 12 9e+14
5 12 5e+14
6 12 8e+14
7 12 7e+14
8 12 7e+14
9 12 4e+14
10 12 1e+15
11 12 1e+15
12 12 8e+14
13 12 9e+14
14 12 8e+14
15 12 4e+14
16 12 7e+14
17 12 9e+14
18 12 7e+14
19 12 6e+14
20 12 4e+14
21 12 9e+14
22 12 3e+14
23 12 1e+15
24 12 7e+14
25 12 6e+14
26 12 5e+14
27 12 7e+14
28 12 9e+14
29 12 5e+14
30 12 8e+14
31 12 1e+15
32 12 7e+14
33 12 9e+14
34 12 9e+14
35 12 7e+14
36 12 7e+14
37 12 8e+14
38 12 9e+14
39 12 9e+14
40 12 7e+14
41 12 1e+15
42 12 9e+14
43 12 7e+14
44 12 1.1e+15
45 12 1e+15
46 12 8e+14
47 12 9e+14
48 12 5e+14
49 12 1.3e+15
50 12 9e+14
51 12 1.3e+15
52 12 1.3e+15
53 12 8e+14
54 12 7e+14
55 12 1e+15
56 12 8e+14
57 12 9e+14
58 12 7e+14
59 12 1.1e+15
60 12 9e+14
61 12 1e+15
62 12 9e+14
63 12 1.3e+15
64 12 8e+14
65 12 1.6e+15
66 12 1e+15
67 12 1.3e+15
68 12 1e+15
69 12 1e+15
70 12 1.1e+15
71 12 8e+14
72 12 1.7e+15
73 12 1.4e+15
74 12 1.2e+15
75 12 1.6e+15
76 12 1.6e+15
77 12 1.6e+15
78 12 1.5e+15
79 12 1e+15
80 12 1.5e+15
81 12 1.3e+15
82 12 1.1e+15
83 12 1.1e+15
84 12 1.8e+15
85 12 1.4e+15
86 12 1.2e+15
87 12 1.5e+15
88 12 1.3e+15
89 12 1.1e+15
90 12 1.4e+15
91 12 1.2e+15
92 12 1.2e+15
93 12 1.4e+15
94 12 1.3e+15
95 12 1.2e+15
96 12 1.8e+15
97 12 1.7e+15
98 12 8e+14
99 12 1.1e+15
100 12 1.2e+15
1 13 1.3e+15
2 13 9e+14
3 13 1.1e+15
4 13 3e+14
5 13 6e+14
6 13 9e+14
7 13 4e+14
8 13 7e+14
9 13 1.2e+15
10 13 3e+14
11 13 9e+14
12 13 4e+14
13 13 8e+14
14 13 1.1e+15
15 13 7e+14
16 13 9e+14
17 13 8e+14
18 13 1.2e+15
19 13 6e+14
20 13 7e+14
21 13 9e+14
22 13 8e+14
23 13 9e+14
24 13 1e+15
25 13 7e+14
26 13 1e+15
27 13 6e+14
28 13 8e+14
29 13 7e+14
30 13 3e+14
31 13 1e+15
32 13 6e+14
33 13 6e+14
34 13 9e+14
35 13 5e+14
36 13 1.1e+15
37 13 7e+14
38 13 1.1e+15
39 13 6e+14
40 13 7e+14
41 13 8e+14
42 13 1e+15
43 13 7e+14
44 13 8e+14
45 13 6e+14
46 13 8e+14
47 13 5e+14
48 13 1.2e+15
49 13 8e+14
50 13 1.1e+15
51 13 1.1e+15
52 13 8e+14
53 13 1.3e+15
54 13 1e+15
55 13 9e+14
56 13 1.1e+15
57 13 1.1e+15
58 13 1.2e+15
59 13 6e+14
60 13 1.1e+15
61 13 1.1e+15
62 13 1.6e+15
63 13 8e+14
64 13 1e+15
65 13 1.3e+15
66 13 1.3e+15
67 13 1.3e+15
68 13 1.4e+15
69 13 1.4e+15
70 13 1.6e+15
71 13 1e+15
72 13 1.5e+15
73 13 1.2e+15
74 13 1.7e+15
75 13 1.5e+15
76 13 1e+15
77 13 1.3e+15
78 13 1.5e+15
79 13 1.3e+15
80 13 1.3e+15
81 13 1.4e+15
82 13 1.8e+15
83 13 9e+14
84 13 1.1e+15
85 13 1.6e+15
86 13 1.3e+15
87 13 9e+14
88 13 1.6e+15
89 13 1.3e+15
90 13 1.4e+15
91 13 1.3e+15
92 13 1.3e+15
93 13 1.2e+15
94 13 1.9e+15
95 13 1.1e+15
96 13 1.2e+15
97 13 1.3e+15
98 13 1.6e+15
99 13 9e+14
100 13 1.4e+15
1 14 8e+14
2 14 7e+14
3 14 6e+14
4 14 7e+14
5 14 9e+14
6 14 7e+14
7 14 1e+15
8 14 1.2e+15
9 14 8e+14
10 14 1e+15
11 14 8e+14
12 14 4e+14
13 14 5e+14
14 14 6e+14
15 14 8e+14
16 14 5e+14
17 14 6e+14
18 14 7e+14
19 14 8e+14
20 14 6e+14
21 14 9e+14
22 14 9e+14
23 14 7e+14
24 14 7e+14
25 14 7e+14
26 14 8e+14
27 14 1.2e+15
28 14 6e+14
29 14 9e+14
30 14 9e+14
31 14 6e+14
32 14 7e+14
33 14 1.2e+15
34 14 7e+14
35 14 1e+15
36 14 6e+14
37 14 7e+14
38 14 1e+15
39 14 1e+15
40 14 6e+14
41 14 8e+14
42 14 8e+14
43 14 9e+14
44 14 1e+15
45 14 8e+14
46 14 1.1e+15
47 14 1.2e+15
48 14 6e+14
49 14 7e+14
50 14 2e+14
51 14 9e+14
52 14 8e+14
53 14 9e+14
54 14 1e+15
55 14 1.1e+15
56 14 9e+14
57 14 1.3e+15
58 14 9e+14
59 14 1.8e+15
60 14 1.1e+15
61 14 1.4e+15
62 14 1e+15
63 14 1e+15
64 14 2.1e+15
65 14 7e+14
66 14 1e+15
