title="iDensity"
variables = "x","y","num"
zone i=100,j=100,f=point
61 4 4e+14
62 4 1e+14
63 4 3e+14
64 4 2e+14
65 4 3e+14
66 4 6e+14
67 4 2e+14
68 4 3e+14
69 4 4e+14
70 4 1e+14
71 4 4e+14
72 4 4e+14
73 4 2e+14
74 4 4e+14
75 4 2e+14
76 4 1e+14
77 4 6e+14
78 4 6e+14
79 4 1e+14
80 4 2e+14
81 4 6e+14
82 4 5e+14
83 4 5e+14
84 4 5e+14
85 4 3e+14
86 4 4e+14
87 4 4e+14
88 4 7e+14
89 4 8e+14
90 4 7e+14
91 4 8e+14
92 4 1e+15
93 4 1.3e+15
94 4 9e+14
95 4 1.9e+15
96 4 1.1e+15
97 4 1.7e+15
98 4 1.5e+15
99 4 1.3e+15
100 4 4e+14
1 5 1.1e+15
2 5 7e+14
3 5 1.1e+15
4 5 4e+14
5 5 2e+15
6 5 1.2e+15
7 5 1.4e+15
8 5 1.1e+15
9 5 1.5e+15
10 5 2.2e+15
11 5 5e+14
12 5 1e+15
13 5 8e+14
14 5 7e+14
15 5 8e+14
16 5 9e+14
17 5 8e+14
18 5 6e+14
19 5 5e+14
20 5 4e+14
21 5 4e+14
22 5 7e+14
23 5 2e+14
24 5 3e+14
25 5 5e+14
26 5 3e+14
27 5 1e+14
28 5 5e+14
29 5 5e+14
30 5 2e+14
31 5 7e+14
32 5 3e+14
33 5 3e+14
34 5 3e+14
35 5 4e+14
36 5 1e+14
37 5 4e+14
38 5 1e+14
39 5 2e+14
40 5 3e+14
41 5 3e+14
42 5 4e+14
43 5 1e+14
44 5 1e+14
45 5 3e+14
46 5 1e+14
47 5 3e+14
48 5 1e+14
49 5 1e+14
50 5 7e+14
51 5 3e+14
52 5 3e+14
53 5 3e+14
54 5 4e+14
55 5 3e+14
56 5 1e+14
57 5 3e+14
58 5 0
59 5 4e+14
60 5 3e+14
61 5 3e+14
62 5 0
63 5 2e+14
64 5 2e+14
65 5 4e+14
66 5 2e+14
67 5 3e+14
68 5 3e+14
69 5 2e+14
70 5 5e+14
71 5 2e+14
72 5 4e+14
73 5 6e+14
74 5 1e+14
75 5 7e+14
76 5 4e+14
77 5 4e+14
78 5 3e+14
79 5 3e+14
80 5 4e+14
81 5 3e+14
82 5 0
83 5 4e+14
84 5 4e+14
85 5 7e+14
86 5 1.2e+15
87 5 7e+14
88 5 1.1e+15
89 5 1e+15
90 5 9e+14
91 5 1.9e+15
92 5 2.5e+15
93 5 8e+14
94 5 1.1e+15
95 5 9e+14
96 5 1.4e+15
97 5 1.7e+15
98 5 8e+14
99 5 8e+14
100 5 9e+14
1 6 7e+14
2 6 9e+14
3 6 8e+14
4 6 1.4e+15
5 6 1.2e+15
6 6 6e+14
7 6 9e+14
8 6 8e+14
9 6 1.4e+15
10 6 1.9e+15
11 6 1.5e+15
12 6 9e+14
13 6 1.2e+15
14 6 1.5e+15
15 6 1.1e+15
16 6 1e+15
17 6 5e+14
18 6 9e+14
19 6 8e+14
20 6 6e+14
21 6 8e+14
22 6 4e+14
23 6 5e+14
24 6 6e+14
25 6 3e+14
26 6 3e+14
27 6 4e+14
28 6 4e+14
29 6 7e+14
30 6 2e+14
31 6 1e+14
32 6 6e+14
33 6 3e+14
34 6 2e+14
35 6 3e+14
36 6 6e+14
37 6 2e+14
38 6 4e+14
39 6 4e+14
40 6 5e+14
41 6 7e+14
42 6 1e+14
43 6 8e+14
44 6 2e+14
45 6 3e+14
46 6 3e+14
47 6 4e+14
48 6 7e+14
49 6 1e+14
50 6 8e+14
51 6 3e+14
52 6 3e+14
53 6 3e+14
54 6 5e+14
55 6 1e+14
56 6 7e+14
57 6 6e+14
58 6 4e+14
59 6 4e+14
60 6 5e+14
61 6 3e+14
62 6 5e+14
63 6 4e+14
64 6 2e+14
65 6 5e+14
66 6 8e+14
67 6 0
68 6 4e+14
69 6 4e+14
70 6 2e+14
71 6 6e+14
72 6 3e+14
73 6 4e+14
74 6 2e+14
75 6 2e+14
76 6 4e+14
77 6 5e+14
78 6 5e+14
79 6 8e+14
80 6 8e+14
81 6 7e+14
82 6 1e+15
83 6 1.2e+15
84 6 1.1e+15
85 6 8e+14
86 6 9e+14
87 6 1.7e+15
88 6 1e+15
89 6 1.2e+15
90 6 1.4e+15
91 6 1.7e+15
92 6 5e+14
93 6 7e+14
94 6 9e+14
95 6 8e+14
96 6 1.5e+15
97 6 1.4e+15
98 6 7e+14
99 6 6e+14
100 6 7e+14
1 7 5e+14
2 7 4e+14
3 7 4e+14
4 7 1.1e+15
5 7 1.2e+15
6 7 1e+15
7 7 1.3e+15
8 7 5e+14
9 7 1e+15
10 7 1.9e+15
11 7 1.4e+15
12 7 1.6e+15
13 7 1e+15
14 7 1.7e+15
15 7 1.6e+15
16 7 1.2e+15
17 7 1.7e+15
18 7 1.1e+15
19 7 8e+14
20 7 5e+14
21 7 7e+14
22 7 1.2e+15
23 7 4e+14
24 7 9e+14
25 7 3e+14
26 7 1.3e+15
27 7 3e+14
28 7 4e+14
29 7 7e+14
30 7 4e+14
31 7 6e+14
32 7 2e+14
33 7 2e+14
34 7 7e+14
35 7 5e+14
36 7 3e+14
37 7 8e+14
38 7 5e+14
39 7 2e+14
40 7 2e+14
41 7 3e+14
42 7 0
43 7 5e+14
44 7 9e+14
45 7 5e+14
46 7 3e+14
47 7 3e+14
48 7 3e+14
49 7 2e+14
50 7 7e+14
51 7 3e+14
52 7 6e+14
53 7 3e+14
54 7 5e+14
55 7 0
56 7 1e+14
57 7 2e+14
58 7 5e+14
59 7 5e+14
60 7 3e+14
61 7 7e+14
62 7 2e+14
63 7 5e+14
64 7 2e+14
65 7 3e+14
66 7 2e+14
67 7 5e+14
68 7 4e+14
69 7 3e+14
70 7 3e+14
71 7 4e+14
72 7 4e+14
73 7 5e+14
74 7 5e+14
75 7 6e+14
76 7 9e+14
77 7 9e+14
78 7 4e+14
79 7 9e+14
80 7 5e+14
81 7 7e+14
82 7 7e+14
83 7 7e+14
84 7 1.5e+15
85 7 1.4e+15
86 7 1.2e+15
87 7 2.1e+15
88 7 5e+14
89 7 1e+15
90 7 1.7e+15
91 7 9e+14
92 7 1e+15
93 7 3e+14
94 7 6e+14
95 7 1.3e+15
96 7 1.2e+15
97 7 1.6e+15
98 7 3e+14
99 7 4e+14
100 7 5e+14
1 8 5e+14
2 8 7e+14
3 8 4e+14
4 8 2e+15
5 8 1.6e+15
6 8 1.6e+15
7 8 1.6e+15
8 8 8e+14
9 8 1.6e+15
10 8 1.2e+15
11 8 9e+14
12 8 1.2e+15
13 8 7e+14
14 8 1.5e+15
15 8 1.5e+15
16 8 1.3e+15
17 8 9e+14
18 8 1e+15
19 8 1.8e+15
20 8 1e+15
21 8 1.1e+15
22 8 7e+14
23 8 9e+14
24 8 8e+14
25 8 4e+14
26 8 1.3e+15
27 8 5e+14
28 8 7e+14
29 8 6e+14
30 8 9e+14
31 8 7e+14
32 8 8e+14
33 8 6e+14
34 8 4e+14
35 8 5e+14
36 8 6e+14
37 8 3e+14
38 8 5e+14
39 8 5e+14
40 8 5e+14
41 8 7e+14
42 8 6e+14
43 8 8e+14
44 8 2e+14
45 8 9e+14
46 8 6e+14
47 8 7e+14
48 8 5e+14
49 8 8e+14
50 8 5e+14
51 8 3e+14
52 8 7e+14
53 8 6e+14
54 8 8e+14
55 8 1e+15
56 8 5e+14
57 8 7e+14
58 8 5e+14
59 8 4e+14
60 8 4e+14
61 8 5e+14
62 8 2e+14
63 8 8e+14
64 8 2e+14
65 8 1.1e+15
66 8 3e+14
67 8 8e+14
68 8 6e+14
69 8 7e+14
70 8 7e+14
71 8 6e+14
72 8 5e+14
73 8 8e+14
